Korean,Chinese
"데미지 감소(뎀감), 피해량 감소율(피감)",减伤率
"트루데미지, 고정피해량 (인게임: 홀리데미지)",神圣伤害
스킨,皮肤
펫,宠物
업적,成就
인첸트,灵种/镶嵌
전 서버,全服
배포,发放
게임머니,游戏货币
가방/보따리,背包/包囊
귓속말,私聊
대전 밖,局外
슬롯,格子
슬롯,槽子
프로필 박스,头像
수익,收益
스테이지 통과,通关
가중치,权重
빅매치,大奖赛
올킬,全清
업데이트,更新
길드,帮会
하우징,庄园
동시접속,双开
다중 동시 접속,多开
상점,商店
pvp. 깃발전,切磋 
채팅 금지,禁言
금화/골드,金币
단조,锻造
AP,行动力
최대,已满
가챠/뽑기,扭蛋
마네키네코,招财喵
주머니 ,袋
지원,助力
활약 달성,活跃达成
뜬구름,腾云
필터 없음,无级别
레벨업,升级
점수/포인트,积分
라인업,阵容
즉시 획득,立得
의상 선택,自选锦衣
약탈,抢
다시 보기,对局回顾
소탕,扫荡
쇼핑 중독,痛快剁手
한정판,绝版
펫,通灵
자동사냥,挂机
추포,追捕
장착,佩戴
장착,穿戴
유닛,单位
팀/파티,队伍
"출병, 진군",出兵
타워,塔楼
정예병,精英
장신구,饰品
도면,图纸
값,数值
~ 확률로/일정 확률로,有几率
사슬,连环
동맹,盟友
라이징 스타,崭露头角
부상자 간호,伤员护理
상호 지원/공조,互助
길드 로비,联盟大厅
기합,畜力
치유,治疗
평점,评分
상응,对应
길드,联盟
기술연구,科研
미활성화,未激活
왕좌,王座
7일 동안 로그인하지 않음,超过7天未登录
최근 7일 이내 로그인,7天内登录过
최근 24시간 이내 로그인,24小时内登录过
길드 공용어,联盟常用语言
모아,收集
명예,荣誉
믿음,信仰
멤버수,成员人数
정원수,成员上限
건설,修建
상주,进驻
마을,村庄
빠른/급속/급행,加速
위탁 수락,接受委托
프리미엄,超值
"페이백, 반환",返利
특별 혜택,特惠
인력,人员
장소,地点
길드장,盟主
쿨다운 중,冷却中
임명,委任
어워드,大奖
조각,碎片
디바이스,设备
그래픽 화질,图像质量
드롭,掉落
어쌔신,刺客
이모지,表情
퀵챗,快捷聊天屏蔽
효과음 볼륨,音效音量
커스터마이징,个性化
안내,提示
조작화면,操作界面
화면 깜박임,屏幕闪烁
육성,培养
엘리트,华贵
식별코드,识别码
지원,援助
가져오기,导入
플레이스홀더,占位
포진,列陈
내보내기,导出
슬롯,槽
초심자 보호,新手保
하위 호환,下位
수령,领取
디버프,负面效果
아이콘,图标
스탯 분배,加点
재발송,补发
패키지,礼包
계정,账号
접속,登录
출시,放送
일괄,一键
일정의 ,一定的
지휘력,适性
비교적 뛰어나,比较优秀
초반,前期
제압,克制
편리,方便
얻다,拿
매칭,配合
고유 장수,自带将
특정 연동을 달성,实现一定的联动
전환,切换
바꿔,调换
노트,手记
보충,补齐
초토화,焦土
탱커,坦克
힐러,奶妈
더빙,配音
맵,地图
계급,等级
마법 공격,魔法攻击
로그,日志
헤비 스트라이크,重拳出击
AP,行动点数
후원,捐助
의뢰,委托
면역,免疫
스매싱,猛击
피로도,疲惫度
친구/동료,好友
침묵,沉默
횟수,次数
최대가 되다,值满
대전,对局
녹화,录屏
클립,集锦
순간,当局
감상,观看
출시,上线
점검,维护
나만의,专属的
튜토리얼,教程
중수,老手
오픈 베타,公测赢取
모델,代言人
콜라보,联名
PC클라이언트,PC端
약정,协议
굿즈,周边商品
필드,野外
비단잉어,锦鲤
골드바,金条
루비,宝石
용감,无惧
궁극기,终极技能
쿨타임,冷却
반환,返还
특성,特质
파밍,发育
법사,巫
기본 피해,基础伤害
후속 피해,后续伤害
라인전,对线
마법방어,法抗
기본,默认
부진,下滑
마법공격,法强
낙인,咒印
텍스트,文本
